disease_name,symptoms
Giant Cell Arteritis (Temporal Arteritis),"persistent, severe headache (often in the temple), scalp tenderness, jaw pain with chewing, vision problems, fever, fatigue"
Polymyalgia Rheumatica,"aching and stiffness (especially in the shoulders, neck, and hips) that is worse in the morning, fatigue, fever, weight loss"
Ankylosing Spondylitis,"chronic pain and stiffness in the lower back and hips, pain worsening with rest and improving with activity, hunched posture, fatigue, eye inflammation"
Psoriatic Arthritis,"joint pain, stiffness, and swelling, scaly skin patches (psoriasis), dactylitis ('sausage fingers'), nail changes (pitting, separation)"
Kawasaki Disease,"high fever (lasting at least 5 days), rash, swollen lymph nodes in the neck, red eyes, red/swollen hands and feet, red, cracked lips and 'strawberry tongue'"
Rheumatic Fever,"fever, painful and inflamed joints, fatigue, small painless lumps under the skin, rash, involuntary jerky body movements (Sydenham chorea)"
Systemic Lupus Erythematosus (SLE) Flare,"butterfly-shaped rash on the face, fatigue, joint pain/swelling, fever, sensitivity to sun, chest pain with deep breath"
Scleroderma (Limited Cutaneous),"thickened skin on the fingers and face, Raynaud's phenomenon, telangiectasias (spider veins), heartburn, difficulty swallowing"
Graves' Ophthalmopathy,"bulging eyes (proptosis), gritty sensation in the eyes, double vision, pain or pressure in the eyes"
Aplastic Anemia,"fatigue, frequent infections, easy bruising and bleeding, shortness of breath, pale skin"
Thalassemia,"fatigue, weakness, pale skin, jaundice, facial bone deformities, slow growth, abdominal swelling"
Von Willebrand Disease,"easy bruising, frequent or prolonged nosebleeds, prolonged bleeding from cuts, heavy or long menstrual periods"
Hemochromatosis (Advanced),"joint pain, fatigue, loss of sex drive, abdominal pain, irregular heart rhythm, weight loss, darkening of the skin"
Primary Biliary Cholangitis (PBC),"fatigue, itchy skin, dry mouth and eyes, joint pain, abdominal pain, jaundice"
Alpha-1 Antitrypsin Deficiency,"shortness of breath, wheezing, chronic cough, fatigue, rapid heart rate, weight loss, recurring respiratory infections"
Cystic Fibrosis (Pulmonary Exacerbation),"increased coughing, change in mucus color/thickness, worsening shortness of breath, fever, decreased appetite/weight loss"
Asbestosis,"shortness of breath (progressively worsening), persistent dry cough, chest tightness, fatigue"
Silicosis,"shortness of breath, severe cough, fatigue, fever, blue skin around the lips"
Sleepwalking (Somnambulism),"sitting up in bed and appearing awake, walking around, engaging in complex actions, vacant expression, failure to respond to attempts to communicate"
Nightmare Disorder,"frequent, vivid, and disturbing dreams that cause distress and difficulty returning to sleep"
Substance Use Disorder (Severe),"impaired control over use, desire to cut down, tolerance, withdrawal symptoms, continued use despite problems, neglect of major roles"
Factitious Disorder (Munchausen Syndrome),"deceptive presentation of oneself as ill or injured, faking symptoms, self-harm to produce symptoms, tampering with test results"
Conversion Disorder (Functional Neurological Symptom Disorder),"neurological symptoms (e.g., paralysis, blindness, seizures) that are inconsistent with known medical conditions"
Dissociative Identity Disorder (DID),"presence of two or more distinct personality states (alters), memory gaps (amnesia) for personal information, sense of being detached from oneself"
Schizoaffective Disorder,"concurrent symptoms of schizophrenia (hallucinations, delusions) and a mood disorder (mania or depression)"
Body Dysmorphic Disorder (BDD),"preoccupation with perceived flaws in appearance that are minor or unnoticeable to others, repetitive behaviors (e.g., checking mirror, grooming)"
Pneumocystis Pneumonia (PCP),"fever, dry cough, shortness of breath, fatigue, chest pain (common in people with HIV/AIDS or weakened immune systems)"
Cryptosporidiosis (Crypto),"watery diarrhea, stomach cramps, nausea, vomiting, fever, dehydration"
Coccidioidomycosis (Valley Fever),"fever, cough, night sweats, joint aches, red rash on lower legs (erythema nodosum), fatigue"
Chikungunya Fever,"abrupt onset of fever, severe joint pain (often debilitating), headache, muscle pain, rash, swelling around joints"
Leishmaniasis (Visceral - Kala-azar),"prolonged fever, weight loss, enlargement of the spleen and liver, pancytopenia (low blood cell counts), darkening of the skin"
Scrub Typhus,"fever, headache, body aches, rash, eschar (a dark, crusted ulcer) at the bite site, swollen lymph nodes"
Babesiosis,"fever, chills, sweats, fatigue, muscle aches, headache, loss of appetite, hemolytic anemia"
Whipple's Disease,"chronic diarrhea, abdominal pain, weight loss, joint pain, hyperpigmentation (darkening of the skin), fever"
Amyloidosis,"fatigue, weight loss, swelling of the ankles/legs, numbness/tingling in hands or feet, shortness of breath, easy bruising, enlarged tongue"
Hemolytic Uremic Syndrome (HUS),"bloody diarrhea, decreased frequency of urination, pale skin, fatigue, unexplained bruising, seizures"
Acute Kidney Injury (AKI),"decreased urine output, fluid retention (swelling in legs), shortness of breath, fatigue, confusion, nausea"
Nephrotic Syndrome,"severe swelling around the eyes and in the feet/ankles, foamy urine, weight gain from fluid retention, fatigue"
Hypotension (Orthostatic),"dizziness or lightheadedness upon standing, fainting, blurred vision, weakness"
Adrenal Fatigue (Non-Medical Term),"persistent fatigue, body aches, unexplained weight loss, low blood pressure, difficulty sleeping, salt and sugar cravings"
Lymphedema,"swelling (usually in an arm or leg), feeling of tightness or heaviness, restricted range of motion, recurrent infections in the limb, hardening and thickening of the skin"
Raynaud's Phenomenon,"coldness, numbness, and color changes (white, then blue, then red) in the fingers or toes triggered by cold or stress, tingling upon warming"
Scleroderma (Diffuse Cutaneous),"skin thickening over entire body, internal organ damage (lungs, kidneys, heart), fatigue, joint pain"
Hantavirus Infection,"fever, chills, muscle aches, headache, nausea, coughing, shortness of breath"
Yellow Fever,"sudden fever, chills, severe headache, back pain, nausea, vomiting, jaundice, bleeding"
Marburg Virus Disease,"fever, chills, headache, myalgia, diarrhea, vomiting, chest pain, bleeding"
Lassa Fever,"fever, weakness, headache, sore throat, chest pain, nausea, vomiting, diarrhea, cough"
Nipah Virus Infection,"fever, headache, myalgia, vomiting, dizziness, drowsiness, altered consciousness, seizures"
Q Fever,"high fever, severe headache, fatigue, chills, sweats, cough, chest pain, nausea"
Brucellosis,"fever, sweats, malaise, anorexia, headache, muscle pain, joint pain"
Cutaneous Anthrax,"itchy bump, painless ulcer with black center (eschar), swelling of nearby lymph nodes"
Tularemia,"sudden fever, chills, headache, diarrhea, muscle aches, joint pain, dry cough"
Bubonic Plague,"sudden fever, chills, weakness, swollen painful lymph nodes (buboes)"
SARS (Severe Acute Respiratory Syndrome),"high fever, dry cough, shortness of breath, headache, body aches"
MERS (Middle East Respiratory Syndrome),"fever, cough, shortness of breath, gastrointestinal symptoms"
"Hand, Foot, and Mouth Disease","fever, sore throat, painful mouth sores, skin rash on hands and feet"
Norovirus,"sudden vomiting, watery diarrhea, stomach cramps, low-grade fever"
Rotavirus,"fever, vomiting, watery diarrhea, abdominal pain (common in infants/children)"
RSV (Respiratory Syncytial Virus),"runny nose, decreased appetite, cough, sneezing, fever, wheezing"
Giardiasis (Chronic),"foul-smelling diarrhea, gas, greasy stools, bloating, stomach cramps"
Strongyloidiasis,"abdominal pain, diarrhea, weight loss, cough, rash, itching"
Histoplasmosis,"fever, cough, fatigue, chills, headache, chest pain"
Blastomycosis,"fever, cough, night sweats, chest pain, fatigue, skin lesions"
Sporotrichosis,"small painless bump on skin progressing to ulcers, swollen lymph nodes"
Cryptococcosis,"headache, fever, neck pain, nausea, sensitivity to light, confusion"
Aspergillosis,"fever, cough, chest pain, shortness of breath, wheezing, coughing up blood"
Toxocariasis,"fever, cough, wheezing, abdominal pain, vision problems"
Trichinellosis (Trichinosis),"diarrhea, abdominal pain, fever, muscle pain, facial swelling"
Schistosomiasis,"rash, itchy skin, fever, chills, cough, muscle aches; later blood in urine/stool"
Onchocerciasis (River Blindness),"intense itching, skin changes, eye lesions leading to vision loss"
Herpetic Whitlow,"painful swollen finger, blisters, burning, tingling"
Parvovirus B19 (Fifth Disease),"mild fever, runny nose, headache, bright red rash on cheeks"
Rubella (German Measles),"mild fever, headache, red eyes, enlarged lymph nodes, fine pink rash"
Roseola (Sixth Disease),high fever followed by sudden pink rash on trunk and neck
Pertussis (Adolescent/Adult),"prolonged cough, paroxysms, whoop may be absent, post-tussive vomiting"
Mycoplasma Pneumonia,"gradual fever, dry cough, headache, malaise (walking pneumonia)"
Legionella Pneumonia,"high fever, cough, shortness of breath, muscle aches, headache, diarrhea"
Autoimmune Hepatitis,"fatigue, joint pain, nausea, abdominal pain, jaundice, spider angiomas"
NAFLD (Nonalcoholic Fatty Liver Disease),"fatigue, discomfort in upper right abdomen, often asymptomatic"
NASH (Nonalcoholic Steatohepatitis),"fatigue, weakness, weight loss, dull abdominal pain"
Gastroparesis,"nausea, vomiting undigested food, early satiety, bloating, abdominal pain"
SIBO (Small Intestinal Bacterial Overgrowth),"bloating, gas, diarrhea, abdominal discomfort, nutrient deficiencies"
Microscopic Colitis,"chronic watery diarrhea, abdominal cramps, weight loss"
Biliary Colic,"sudden right upper quadrant pain after fatty meals, nausea, vomiting"
Primary Hyperaldosteronism,"resistant hypertension, low potassium, muscle cramps, weakness"
Hyperprolactinemia,"irregular periods, galactorrhea, infertility, decreased libido, headaches"
Acromegaly,"enlarged hands/feet, coarse facial features, joint pain, headaches, excessive sweating"
Alopecia Areata,"Sudden hair loss, patchy bald spots, exclamation point hairs, nail changes."
Rubella,"fever, rash, headache, runny nose, red eyes, joint pain, swollen lymph nodes"
Pertussis (Whooping Cough),"runny nose, sneezing, mild cough, fever, severe coughing fits, whooping sound, vomiting"
Hepatitis D,"fatigue, nausea, vomiting, abdominal pain, dark urine, jaundice, joint pain"
Hepatitis E,"fatigue, nausea, vomiting, abdominal pain, dark urine, jaundice, fever"
Chikungunya,"fever, joint pain, muscle pain, headache, rash, joint swelling"
Leishmaniasis,"skin sores, fever, weight loss, enlarged spleen, anemia, fatigue"
Trypanosomiasis (Sleeping Sickness),"fever, headache, joint pain, itching, confusion, sleep disturbances, personality changes"
Leprosy,"skin lesions, numbness, muscle weakness, eye problems, nosebleeds, loss of eyebrows"
Plague,"fever, chills, weakness, headache, swollen lymph nodes, coughing, chest pain"
Anthrax,"fever, chills, fatigue, body aches, shortness of breath, nausea, vomiting, chest discomfort"
Botulism,"difficulty swallowing, muscle weakness, blurred vision, drooping eyelids, slurred speech, difficulty breathing"
Natural remedies can completely replace all medical treatments for serious,"I can't provide a list of symptoms for conditions that natural remedies can completely replace all medical treatments for. If you have any other questions or need information on a specific medical topic, I'd be happy to help."
Tubercuolosis,"Coughing up blood or sputum, Chest pain or discomfort, Fatigue, Weight loss, Night sweats, Fever, Chills, Loss of appetite, Coughing up mucus, Shortness of breath, Wheezing, Coughing up yellow or green mucus, Swollen lymph nodes, Pale or blue-tinged skin, Recurring pneumonia."
